epoch,acc,iou,loss,lr,precision_9,recall_9,val_acc,val_iou,val_loss,val_precision_9,val_recall_9
0,0.9013372659683228,0.1546640247106552,0.2830822169780731,0.0002,0.4692104160785675,0.29229816794395447,0.9133700728416443,0.0731978714466095,0.34919530153274536,0.1171875,0.00017344650404993445
1,0.9277150630950928,0.2398402988910675,0.1977260410785675,0.0002,0.6784737706184387,0.4585169851779938,0.8984955549240112,0.1081598699092865,0.3107154965400696,0.2970277965068817,0.12537869811058044
2,0.9381626844406128,0.3063291311264038,0.1676303744316101,0.0002,0.7303444743156433,0.55960613489151,0.8854700326919556,0.12980957329273224,0.3071613013744354,0.29548051953315735,0.2301981896162033
3,0.9474127292633057,0.3719332814216614,0.1431761384010315,0.0002,0.7788932919502258,0.6305059194564819,0.8760025501251221,0.1891399621963501,0.3421229422092438,0.3480358421802521,0.4846673309803009
4,0.9518610835075378,0.4150613248348236,0.13056619465351105,0.0002,0.8029040098190308,0.6613358855247498,0.9272580742835999,0.32287120819091797,0.19565671682357788,0.5772650241851807,0.6358779668807983
5,0.958721399307251,0.473222941160202,0.11216291785240173,0.0002,0.8383071422576904,0.708935558795929,0.9552242159843445,0.4061499834060669,0.1269579380750656,0.7782819867134094,0.6862006187438965
6,0.9629755616188049,0.5141061544418335,0.09943567961454391,0.0002,0.854542076587677,0.7441809177398682,0.95171719789505,0.39525383710861206,0.13361412286758423,0.8180921077728271,0.5752526521682739
7,0.9669502377510071,0.5503409504890442,0.08931560069322586,0.0002,0.873433530330658,0.771608293056488,0.9546488523483276,0.40271034836769104,0.12145265191793442,0.8208856582641602,0.6169029474258423
8,0.971484899520874,0.601219892501831,0.07604672014713287,0.0002,0.8915460705757141,0.8062657117843628,0.9544117450714111,0.3946695625782013,0.1347767859697342,0.9315832257270813,0.5137485265731812
9,0.9754805564880371,0.642309308052063,0.06535538285970688,0.0002,0.9105204939842224,0.832315981388092,0.9633438587188721,0.5117703676223755,0.10591259598731995,0.9049132466316223,0.6484817862510681
10,0.9749674797058105,0.6483423113822937,0.06437533348798752,0.0002,0.9037081599235535,0.8340192437171936,0.9649698138237,0.5104252099990845,0.09760023653507233,0.8210458755493164,0.7699405550956726
11,0.9772049784660339,0.6738417744636536,0.057711757719516754,0.0002,0.9133204817771912,0.8497183322906494,0.9540345072746277,0.4417908489704132,0.13272373378276825,0.7420077919960022,0.7310770153999329
12,0.9771289825439453,0.6782678365707397,0.058103274554014206,0.0002,0.9150122404098511,0.8471522331237793,0.9515270590782166,0.5162145495414734,0.1332905888557434,0.6833372116088867,0.843366265296936
13,0.9810300469398499,0.7190326452255249,0.04794745892286301,0.0002,0.9331650733947754,0.8723515272140503,0.9709572792053223,0.634303629398346,0.07376007735729218,0.807045578956604,0.8884854912757874
14,0.9836271405220032,0.754951536655426,0.04016198590397835,0.0002,0.9409539103507996,0.8938838243484497,0.9770697951316833,0.6980213522911072,0.05994807556271553,0.8640567064285278,0.8837792873382568
15,0.9788235425949097,0.7177019715309143,0.05131583288311958,0.0002,0.9191281795501709,0.8622831106185913,0.9372098445892334,0.47116243839263916,0.1744726300239563,0.6006953716278076,0.8630003929138184
16,0.9825782179832458,0.7456084489822388,0.041756175458431244,0.0002,0.9381499290466309,0.884492814540863,0.9759891629219055,0.6860691905021667,0.061453741043806076,0.8580994009971619,0.8772692680358887
17,0.986871063709259,0.8030115365982056,0.0300751980394125,0.0002,0.9541817307472229,0.916530191898346,0.9798223972320557,0.721068799495697,0.05170169845223427,0.8972532749176025,0.8755694627761841
18,0.9886914491653442,0.832047700881958,0.024546289816498756,0.0002,0.9628505706787109,0.9277153015136719,0.9802906513214111,0.736490786075592,0.05050107091665268,0.8895244002342224,0.8919312953948975
19,0.9894484877586365,0.8480172753334045,0.0218032393604517,0.0002,0.9655054807662964,0.9334709048271179,0.9785786867141724,0.7400638461112976,0.05685914307832718,0.8678004145622253,0.8998404145240784
20,0.9901678562164307,0.8608826994895935,0.019693637266755104,0.0002,0.9689843654632568,0.9378718137741089,0.9786466956138611,0.7396023869514465,0.060380253940820694,0.8704217076301575,0.896660566329956
21,0.9902166724205017,0.8642569780349731,0.019472947344183922,0.0002,0.96906578540802,0.938234806060791,0.9819436073303223,0.7663547992706299,0.05274442583322525,0.9237515926361084,0.8707823753356934
22,0.990452229976654,0.8675737977027893,0.01845543645322323,2e-05,0.97038733959198,0.9394198656082153,0.9839828014373779,0.7903035283088684,0.04419798031449318,0.9247918725013733,0.8978978395462036
23,0.9914158582687378,0.8807371854782104,0.016140246763825417,2e-05,0.9744964838027954,0.9463881850242615,0.9841688871383667,0.7946724891662598,0.04367093741893768,0.9204065799713135,0.9056451320648193
24,0.9916468858718872,0.8851693868637085,0.015470234677195549,2e-05,0.9758274555206299,0.9474009275436401,0.9842859506607056,0.7979186177253723,0.043941039592027664,0.9209505915641785,0.9064891934394836
25,0.9917826652526855,0.8880131244659424,0.015096714720129967,2e-05,0.9765019416809082,0.9479954838752747,0.9843729734420776,0.8003835082054138,0.04416728764772415,0.9216402769088745,0.9067204594612122
26,0.9919449687004089,0.890538215637207,0.014730863273143768,2e-05,0.9773423075675964,0.9489398002624512,0.9844059944152832,0.8022173643112183,0.044510964304208755,0.9222497940063477,0.9064776301383972
27,0.9920681715011597,0.8922661542892456,0.014394101686775684,2e-06,0.9779434204101562,0.94950932264328,0.9844460487365723,0.8036544919013977,0.044660646468400955,0.921283483505249,0.9083508849143982
28,0.9921231269836426,0.8930339813232422,0.014254199340939522,2e-06,0.9783341288566589,0.9498539566993713,0.9844480156898499,0.8041645884513855,0.044738054275512695,0.9210430979728699,0.9087209105491638
29,0.9921402931213379,0.893369734287262,0.014216980896890163,2e-06,0.9782965183258057,0.9500669836997986,0.9844670295715332,0.8045065402984619,0.04474661871790886,0.9211611747741699,0.9088481068611145
30,0.9921540021896362,0.8935444951057434,0.014176465570926666,2e-07,0.9783748984336853,0.9501959085464478,0.9844640493392944,0.804652214050293,0.044782765209674835,0.9210597276687622,0.9089290499687195
31,0.992161214351654,0.8936406970024109,0.014145247638225555,2e-07,0.978379487991333,0.9502248167991638,0.9844620227813721,0.8047164678573608,0.044798124581575394,0.9210193157196045,0.9089637398719788
32,0.9921733140945435,0.8937426209449768,0.01413633581250906,2e-07,0.9784802794456482,0.9502274990081787,0.9844560623168945,0.8047299385070801,0.04481121152639389,0.9209582805633545,0.9090099930763245
33,0.9921705722808838,0.8936818838119507,0.014157149940729141,2e-08,0.9784911274909973,0.9501183032989502,0.9844630360603333,0.8047593832015991,0.0447966605424881,0.9210516810417175,0.9089637398719788
